,Unnamed: 0,id,EVENTMSGTYPE,x,y,z,game_clock,rankc
12214,537007,0021500379_221,2,4.56006,24.88,13.11389,184.76,63
12215,537041,0021500379_223,1,5.43084,25.88591,9.15978,145.48,34
12216,537073,0021500379_224,1,5.34045,25.353679999999997,9.39545,123.8,32
12217,537106,0021500379_3,1,5.40436,25.46217,9.03299,678.83,33
12218,537141,0021500379_31,1,4.65564,24.59871,9.03462,316.16,35
12219,537177,0021500379_46,1,5.81311,24.21847,9.01873,148.86,36
12220,537214,0021500379_56,2,8.22608,27.926470000000002,9.10034,69.23,37
12221,537278,0021500379_59,2,9.24997,23.96419,9.4653,28.53,64
12222,537329,0021500379_67,2,13.772960000000001,29.230690000000003,9.25272,648.99,51
12223,537373,0021500379_69,2,7.927689999999999,24.71528,9.20088,630.51,44
12224,537390,0021500379_73,2,17.82549,24.250420000000002,8.17712,572.9,17
12225,537438,0021500379_92,2,7.194789999999999,30.199679999999997,9.219560000000001,329.69,48
12226,537492,0021500379_93,2,7.831930000000001,24.45601,9.34908,314.65,54
12227,537528,0021500380_1,1,6.13323,25.302970000000002,9.17048,699.36,36
12228,537581,0021500380_116,2,4.75411,22.6846,9.02012,235.9,53
12229,537624,0021500380_128,2,9.50512,18.922629999999998,9.01642,77.67,43
12230,537676,0021500380_162,2,6.52491,24.718239999999998,9.22092,415.48,52
12231,537710,0021500380_163,2,4.73452,22.35734,9.26954,397.83,34
12232,537746,0021500380_17,2,6.28752,23.488960000000002,9.17153,517.95,36
12233,537782,0021500380_182,1,5.5568800000000005,23.72227,9.109860000000001,165.94,36
12234,537826,0021500380_198,2,16.17101,24.66476,8.80717,684.24,44
12235,537862,0021500380_20,1,5.68602,24.54447,9.10806,485.34,36
12236,537905,0021500380_200,2,12.65029,29.053179999999998,11.23691,676.08,43
12237,537960,0021500380_223,2,4.81843,22.18085,9.07037,369.29,55
12238,538012,0021500380_230,2,5.20587,23.8989,9.16613,268.26,52
12239,538045,0021500380_233,1,4.75669,25.21552,9.2066,231.58,33
12240,538082,0021500380_234,2,5.1624300000000005,27.402209999999997,9.272780000000001,202.87,37
12241,538114,0021500380_244,1,5.2222,24.886110000000002,9.22971,95.73,32
12242,538165,0021500380_27,2,8.1542,22.22315,9.310139999999999,405.26,51
12243,538219,0021500380_32,1,6.752619999999999,22.95833,9.06821,368.84,54
12244,538269,0021500380_36,2,10.54295,28.171490000000002,9.44465,333.33,50
12245,538321,0021500380_39,2,17.8599,30.035859999999996,9.02617,287.13,52
12246,538353,0021500380_49,1,5.2243900000000005,24.03831,9.13419,208.97,32
12247,538387,0021500380_5,1,5.12293,24.981379999999998,9.41883,630.78,34
12248,538441,0021500380_60,2,6.54938,18.3654,9.10029,90.41,54
12249,538505,0021500380_62,2,3.11898,30.9016,9.04186,69.73,64
12250,538544,0021500380_72,1,5.12793,24.440579999999997,9.1713,680.69,39
12251,538599,0021500380_79,2,4.4859800000000005,23.15232,9.29618,604.48,55
12252,538649,0021500380_89,2,7.179860000000001,22.15146,9.1347,495.82,50
12253,538715,0021500380_92,2,16.05565,17.11509,8.64146,459.3,66
12254,538748,0021500380_94,1,5.3730199999999995,25.23254,9.38273,442.46,33
