,Unnamed: 0,id,EVENTMSGTYPE,x,y,z,game_clock,rankc
4453,197536,0021500144_26,2,7.88205,28.326359999999998,10.4376,441.65,50
4454,197571,0021500144_266,1,5.50671,25.45195,10.987589999999999,6.24,33
4455,197634,0021500144_37,2,5.23137,22.29041,10.71826,332.09,56
4456,197675,0021500144_43,2,5.9374400000000005,23.85671,10.40066,269.46,39
4457,197712,0021500144_48,1,5.6293,24.94795,10.659089999999999,209.07,31
4458,197764,0021500144_59,1,5.70972,24.43646,10.90985,93.63,32
4459,197813,0021500144_62,2,6.54018,15.671270000000002,10.54729,75.28,46
4460,197879,0021500144_68,2,5.72872,25.52589,10.52485,32.62,63
4461,197920,0021500144_69,2,6.24477,25.07214,10.483139999999999,9.49,37
4462,197969,0021500144_87,2,5.36641,26.97092,10.49367,523.91,40
4463,198031,0021500144_91,2,3.8345800000000003,20.32531,10.94786,463.53,58
4464,198070,0021500144_94,1,5.94971,24.598689999999998,10.813880000000001,439.32,33
4465,198122,0021500145_102,2,6.14341,28.60411,10.71964,460.03,46
4466,198179,0021500145_111,2,6.45539,24.36988,10.64691,352.93,51
4467,198225,0021500145_114,2,6.2779,23.00007,10.42614,308.02,44
4468,198260,0021500145_13,1,5.98669,25.23691,10.88667,614.23,31
4469,198310,0021500145_131,2,6.747489999999999,27.65741,10.446530000000001,97.45,47
4470,198364,0021500145_154,2,5.57705,29.006790000000002,10.64638,599.04,47
4471,198400,0021500145_157,2,6.02306,23.46635,10.59285,550.38,33
4472,198437,0021500145_17,1,5.9308,25.248070000000002,10.6129,588.68,31
4473,198485,0021500145_172,2,6.63698,17.51649,10.45584,378.92,45
4474,198541,0021500145_176,2,7.341189999999999,22.154870000000003,10.69776,349.17,53
4475,198581,0021500145_180,2,14.8999,25.87896,10.44166,311.53,36
4476,198638,0021500145_19,2,13.8015,17.865389999999998,10.50278,560.46,53
4477,198676,0021500145_198,1,7.1897199999999994,26.61947,12.72115,69.92,28
4478,198707,0021500145_209,2,5.40835,24.27594,10.64662,607.98,31
4479,198748,0021500145_231,2,7.33288,30.769790000000004,10.46021,369.34,39
4480,198773,0021500145_244,1,6.3994800000000005,24.75724,10.74726,217.97,19
4481,198805,0021500145_258,2,7.365480000000001,25.72064,11.04562,34.48,30
4482,198840,0021500145_28,2,6.593380000000001,25.63091,10.53864,491.97,33
4483,198876,0021500145_42,2,5.86895,25.33318,11.16574,339.0,32
4484,198942,0021500145_48,2,5.9994,25.62205,10.40967,302.62,64
4485,198979,0021500145_6,1,6.24929,24.85764,10.88826,674.8,32
4486,199012,0021500145_73,1,5.13649,24.511129999999998,10.62172,31.56,30
4487,199046,0021500145_75,1,5.412780000000001,25.45064,10.49657,17.6,32
4488,199093,0021500145_77,2,6.8555600000000005,22.78265,10.41898,692.12,45
4489,199135,0021500145_96,1,4.98269,24.804570000000002,10.55105,517.86,32
4490,199172,0021500145_99,2,6.72768,25.7626,10.6198,489.44,28
4491,199209,0021500146_107,1,5.742999999999999,24.96937,10.70324,213.62,32
4492,199244,0021500146_136,1,5.55891,24.72874,10.7102,581.37,30
4493,199281,0021500146_139,1,5.85436,25.534689999999998,10.74734,545.24,29
4494,199328,0021500146_145,2,6.31109,32.31108,10.75349,487.45,45
4495,199366,0021500146_15,1,5.3666599999999995,24.56928,10.75024,511.0,34
4496,199402,0021500146_157,2,12.837069999999999,25.48917,10.59028,390.35,34
4497,199447,0021500146_17,1,5.80695,24.625329999999998,10.58009,496.68,36
4498,199480,0021500146_170,1,5.9934400000000005,25.03345,10.71033,218.24,31
4499,199526,0021500146_173,2,5.16025,28.783,10.46675,190.36,43
4500,199584,0021500146_184,2,5.85272,19.99605,10.500060000000001,43.25,54
4501,199619,0021500146_186,1,5.69421,24.71131,11.16719,27.53,31
4502,199670,0021500146_19,2,4.1242,29.882009999999998,10.47101,481.4,43
4503,199710,0021500146_190,2,5.145980000000001,22.052629999999997,10.401860000000001,670.12,37
4504,199760,0021500146_193,2,8.19917,20.10738,10.69794,633.45,45
4505,199784,0021500146_20,2,16.555670000000003,24.99301,10.458210000000001,478.21,21
4506,199810,0021500146_209,2,4.95215,28.497940000000003,10.44195,455.96,23
4507,199835,0021500146_219,1,5.4151,25.87343,10.894160000000001,313.04,25
4508,199890,0021500146_224,2,12.009139999999999,22.46523,10.687669999999999,279.74,52
4509,199943,0021500146_235,2,4.999230000000001,22.229689999999998,10.52388,120.74,40
4510,199981,0021500146_249,1,5.78918,23.624589999999998,11.11085,21.88,32
4511,200019,0021500146_250,1,5.8052,25.313979999999997,10.6095,15.8,29
4512,200057,0021500146_32,1,6.030130000000001,24.92811,10.82902,370.84,35
4513,200102,0021500146_67,2,7.31383,23.66131,10.5573,54.81,42
4514,200162,0021500146_68,2,9.95566,23.18764,10.55816,32.05,52
4515,200208,0021500146_72,2,7.074510000000001,25.030820000000002,10.56972,667.14,42
4516,200246,0021500146_77,1,5.65906,24.76964,10.86801,623.47,31
4517,200279,0021500147_10,1,5.16041,25.3891,10.55375,602.33,29
4518,200327,0021500147_106,2,8.03407,28.24972,10.550939999999999,123.13,45
4519,200376,0021500147_11,2,5.639480000000001,28.18536,10.52433,588.62,45
4520,200416,0021500147_110,1,5.50022,25.27465,10.90682,90.3,35
4521,200476,0021500147_113,2,7.736689999999999,22.91304,10.771360000000001,63.25,53
